year,advice_catch_stock,advice_landings_stock,advice_catch_7e,advice_landings_7e,TAC_7de,official_landings,ICES_discards_7e,ICES_discards_stock,ICES_landings_stock,ICES_catch_7e,ICES_catch_stock
1987,NA,6800,NA,NA,8300,1920,NA,NA,2272,2272,2272
1988,NA,6900,NA,NA,9960,2330,NA,NA,2835,2835,2835
1989,NA,11700,NA,NA,11700,2250,NA,NA,2742,2742,2742
1990,NA,10700,NA,NA,10700,1980,NA,NA,2985,285,2985
1991,NA,8800,NA,NA,10700,1640,NA,NA,2183,2183,2183
1992,NA,2000,NA,NA,9600,1570,NA,NA,1882,1882,1882
1993,NA,NA,NA,NA,8500,1440,NA,NA,1614,1614,1614
1994,NA,NA,NA,NA,9100,1290,NA,NA,1404,1404,1404
1995,NA,1400,NA,NA,8000,1160,NA,NA,1247,1247,1247
1996,NA,600,NA,NA,7530,1140,NA,NA,1266,1266,1266
1997,NA,510,NA,NA,7090,1370,NA,NA,1583,1583,1583
1998,NA,500,NA,NA,5700,1240,NA,NA,1346,1346,1346
1999,NA,1100,NA,NA,7400,1150,NA,NA,1543,1543,1543
2000,NA,1080,NA,NA,6500,1290,NA,NA,1626,1626,1626
2001,NA,930,NA,NA,6000,1110,NA,NA,1310,1310,1310
2002,NA,890,NA,NA,6690,1250,NA,82,1472,1472,1554
2003,NA,530,NA,NA,5970,1240,NA,68,1387,1387,1455
2004,NA,660,NA,NA,6060,1140,NA,90,1337,1337,1427
2005,NA,580,NA,NA,5151,1130,NA,126,1319,1319,1445
2006,NA,NA,NA,NA,5151,1239,NA,114,1411,1411,1525
2007,NA,NA,NA,NA,5050,966,NA,123,1146,1146,1269
2008,NA,NA,NA,NA,5050,893,NA,162,1112,1112,1274
2009,NA,NA,NA,NA,4646,977,NA,82,1024,1024,1106
2010,NA,NA,NA,NA,4274,1123,NA,206,1207,1207,1413
2011,NA,NA,NA,NA,4665,1354,NA,242,1417,1417,1659
2012,NA,1440,NA,NA,5062,1364,380,448,1492,1872,1939
2013,NA,NA,NA,2100,6400,1360,291,351,1472,1763,1823
2014,NA,NA,NA,1397,5322,1340,1006,1133,1490,2496,2622
2015,1885,1546,NA,1318,6223,1249,1172,1276,1424,2596,2700
2016,2262,1697,1944,1458,12446,1780,500,618,2013,2513,2631
2017,2714,1391,2454,1258,10022,1911,593,821,2128,2721,2949
2018,3257,2239,2946,2025,10360,1644,499,633,1880,2379,2513
2019,3648,2517,3283,2265,10354,1523,169,366,1725,1894,2091
2020,2721,1909,2456,1722,9154,1276,447,514,1373,1820,1888
2021,2177,1560,1961,1405,11920,1327,NA,211,1403,NA,1615
2022,1742,1250,1572,1128,9138,NA,NA,NA,NA,NA,NA
